Collector Num;Cluster Type;Created At;Deployments;Description;Health;ID;Name;DHCP;DNS;Hostnamr;NTP;Proxy;Role;Status;Type;Updated At
1;ONPREM;2024-12-16T13:26:55Z;[{'config': None, 'id': '4749f9b8-44ca-4990-b117-8f2adf390428', 'name': 'connectors'}];Coletor de São Paulo;Online;3183e4e1-d49c-4ff7-b0a2-d285a9026181;Collector-PGSP;None;['10.22.146.8', '192.168.3.22'];MDR-SOC-PGSP;None;;collector;None;OnPrem;2024-12-16T14:07:29Z
2;ONPREM;2024-12-16T14:17:55Z;[{'config': None, 'id': 'cbf16d07-1a44-4f10-9269-45c0a88e5d6b', 'name': 'connectors'}];Coletor do Rio de Janeiro;Online;86270220-dc51-4c28-896d-67d7fc6d496e;Collector-PGRJ;None;['10.22.146.9', '192.168.1.22'];MDR-SOC-PGRJ;None;;collector;None;OnPrem;2025-03-02T03:33:56Z
