Asset_Num;Endpoint Type;Host ID;Host Name;ID;OS Version;Sensor ID;Sensor Tenant;Sensor Version;osFamily
159;ENDPOINT_MICROSOFT_ATP;b543be445d337900976bbeb243b44aa63a85fa4b;wkssocgyg25w3.netcenter.com.br;1a122a18-5bdb-491d-a20d-b6d3ab07700b;Windows11;b543be445d337900976bbeb243b44aa63a85fa4b;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.22621.3007;WINDOWS
160;ENDPOINT_MICROSOFT_ATP;b88ee8831a7edc52ce94f934848fffb6c9afec96;wksdrh003.netcenter.com.br;91eac2cf-1f7e-49b6-a58d-ac4a075ec56e;Windows10;b88ee8831a7edc52ce94f934848fffb6c9afec96;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.3930;WINDOWS
161;ENDPOINT_MICROSOFT_ATP;7322b6890605acadd25d5ea235ca4d728c793b98;wksdrhgpbn2j2;b76973ca-8ebb-4139-ab88-00d0669d7c6a;Windows10;7322b6890605acadd25d5ea235ca4d728c793b98;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.3930;WINDOWS
162;ENDPOINT_MICROSOFT_ATP;43dc9f86c388cac6bb7b0f3188ea45c71b8b0f83;pc-robson;74ee2f8b-fd3a-4b82-90d9-75eb2715444e;Windows11;43dc9f86c388cac6bb7b0f3188ea45c71b8b0f83;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.22621.3085;WINDOWS
163;ENDPOINT_MICROSOFT_ATP;2714b7ca034653d1fcb11121ed971ad36e47e335;wksnocf0ygl22.netcenter.com.br;f22f0dc5-0afc-465d-b496-399a6710e4d7;Windows10;2714b7ca034653d1fcb11121ed971ad36e47e335;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.3930;WINDOWS
164;ENDPOINT_MICROSOFT_ATP;34ed12ee2154d862e47d5ff4da5c62b3f2bf1fca;wkscom002.netcenter.com.br;e80c5134-0a5c-4150-a80a-e9ea678d56d8;Windows10;34ed12ee2154d862e47d5ff4da5c62b3f2bf1fca;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.3930;WINDOWS
165;ENDPOINT_MICROSOFT_ATP;254299593ae97838ce572acede0c90c28704846e;wksnocd0yhl22.netcenter.com.br;0cc8c073-f6f3-4a52-9df2-5b2685f76a84;Windows10;254299593ae97838ce572acede0c90c28704846e;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.4046;WINDOWS
166;ENDPOINT_MICROSOFT_ATP;9fb378e4207810a12ed1e7f36e65e6329e1db8ca;wksnoc6nnn172.netcenter.com.br;706e151c-7a47-4e9b-8f88-97c3c730f1df;Windows10;9fb378e4207810a12ed1e7f36e65e6329e1db8ca;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.4046;WINDOWS
167;ENDPOINT_MICROSOFT_ATP;6beaef9880c3d9cdfc4643f1b14d5327082ccb3e;d0yhl22.netcenter.com.br;c19d61b4-ef42-41f2-a02b-85b6b99593b8;Windows10;6beaef9880c3d9cdfc4643f1b14d5327082ccb3e;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.4046;WINDOWS
168;ENDPOINT_MICROSOFT_ATP;af3e608439d8a1128257ae49ff6315305082a455;wkssme006.netcenter.com.br;4833dfcb-be70-4893-a602-059c43159fe6;Windows10;af3e608439d8a1128257ae49ff6315305082a455;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.4046;WINDOWS
169;ENDPOINT_MICROSOFT_ATP;94430ad5557a4ee643aa45173869f4ee14ccda0e;wkssme004.netcenter.com.br;0bcea25a-9730-4592-b745-c62c3b57fc6f;Windows10;94430ad5557a4ee643aa45173869f4ee14ccda0e;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.4046;WINDOWS
170;ENDPOINT_MICROSOFT_ATP;2e0a85427225a1c20eea114de73ccc40ebca2ce0;wkssme007.netcenter.com.br;3a94ea50-3f3e-4a00-b10b-387ff700024b;Windows10;2e0a85427225a1c20eea114de73ccc40ebca2ce0;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.4046;WINDOWS
171;ENDPOINT_MICROSOFT_ATP;864d3cceef47247b099c763f05f4e3f910514a56;wkssme002.netcenter.com.br;29d2018c-e293-491f-a3f2-adbd10293a1c;Windows10;864d3cceef47247b099c763f05f4e3f910514a56;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.4046;WINDOWS
172;ENDPOINT_MICROSOFT_ATP;4d2c6dbc4000e5cd2a1da05cfa3bcf4bcb7c18aa;wkssme005.netcenter.com.br;0e588d8e-5eb2-4045-a560-a9c2224a86dd;Windows10;4d2c6dbc4000e5cd2a1da05cfa3bcf4bcb7c18aa;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.4046;WINDOWS
173;ENDPOINT_MICROSOFT_ATP;bcfa6e56bed86d3dc27b0d9095fff116e7f24c60;wkssdcjyg25w3.netcenter.com.br;4958c5ea-e210-4708-954a-052dd576f70d;Windows11;bcfa6e56bed86d3dc27b0d9095fff116e7f24c60;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.22631.3155;WINDOWS
174;ENDPOINT_MICROSOFT_ATP;99be2b358740064c1b6cd5f3c8ab58693bf4eefb;wkssme003.netcenter.com.br;6a7fbf4f-2652-496f-944b-88f415a0b370;Windows10;99be2b358740064c1b6cd5f3c8ab58693bf4eefb;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.4046;WINDOWS
175;ENDPOINT_MICROSOFT_ATP;2c9930cf3b332e3cc12646ba5e12f6a24567defb;wksesp947p6z3.netcenter.com.br;b908be72-a55b-4578-a61c-9fc9452decfa;Windows11;2c9930cf3b332e3cc12646ba5e12f6a24567defb;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.22621.3007;WINDOWS
176;ENDPOINT_MICROSOFT_ATP;6a15e17c42b758ee07f5c2436f7c33ca82722f21;winlab_azure.netcenter.com.br;a794d9bc-cb62-44fe-a9c4-27918b7f597d;Windows10;6a15e17c42b758ee07f5c2436f7c33ca82722f21;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8735.19045.4123;WINDOWS
177;ENDPOINT_MICROSOFT_ATP;3cefa079c35a0c7de19a23f0abde4397c024cb0a;wksdir63r5414.netcenter.com.br;de096d1c-9eea-422a-966b-78de7efa8c0c;Windows11;3cefa079c35a0c7de19a23f0abde4397c024cb0a;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.22631.3085;WINDOWS
178;ENDPOINT_MICROSOFT_ATP;ee22d7d5d3a8c81ec95f2c74cf6210c2befcb962;wksdirc0yhl22.netcenter.com.br;c58575a2-51c1-4781-9fe0-c00254ef5b4a;Windows10;ee22d7d5d3a8c81ec95f2c74cf6210c2befcb962;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.3996;WINDOWS
179;ENDPOINT_MICROSOFT_ATP;ae3516602669f33b3ed8b8e3bbfcd6f14eaa7daf;wksesp017.netcenter.com.br;00591b13-c38c-4943-a6b8-a3ea07066a4f;Windows11;ae3516602669f33b3ed8b8e3bbfcd6f14eaa7daf;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.22621.3155;WINDOWS
180;ENDPOINT_MICROSOFT_ATP;d2fd1dee4f2ac600179a1d8d1f6e6839aa3af6bc;wksfinc0yjl22.netcenter.com.br;ac717f03-c968-4c67-9ca2-7d8bb2315dce;Windows10;d2fd1dee4f2ac600179a1d8d1f6e6839aa3af6bc;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.4046;WINDOWS
181;ENDPOINT_MICROSOFT_ATP;905d7e1e8186f10f6735e2ce5eb9fbcab7cac17f;wkssme008.netcenter.com.br;c97a3123-c9fd-4ed2-8b37-0dbc1267e616;Windows10;905d7e1e8186f10f6735e2ce5eb9fbcab7cac17f;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.4046;WINDOWS
182;ENDPOINT_MICROSOFT_ATP;f659deca8f525ca44f66e9cff5ac2c38759967f9;wksfin82zb542.netcenter.com.br;2d3f2318-a18d-4de7-9a46-65240baa5043;Windows10;f659deca8f525ca44f66e9cff5ac2c38759967f9;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.4046;WINDOWS
183;ENDPOINT_MICROSOFT_ATP;c5cbac59af1ef8fc469bd3aa874498a0a569328d;wksesp019.netcenter.com.br;717d54e9-67e6-484d-a430-ee4f4ff10151;Windows11;c5cbac59af1ef8fc469bd3aa874498a0a569328d;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.22631.3155;WINDOWS
184;ENDPOINT_MICROSOFT_ATP;f20644360131ea7c168a35ec5e43ba1774fe6bb9;leticia_fridman_android;b0b791fa-cf3f-4d14-aba6-bd4dd18956cd;14.0;f20644360131ea7c168a35ec5e43ba1774fe6bb9;ae05bd5a-1123-4191-8d0f-696daba31d1e;1.0.6226.102;ANDROID
185;ENDPOINT_MICROSOFT_ATP;a7fd7c8d2386d8968ecee493a36f05abd3e144d7;wkscom016.netcenter.com.br;ee4a6f0c-b212-472c-b6a9-0a52d47bef20;Windows10;a7fd7c8d2386d8968ecee493a36f05abd3e144d7;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.7410.17763.1577;WINDOWS
