Asset_Num;Endpoint Type;Host ID;Host Name;ID;OS Version;Sensor ID;Sensor Tenant;Sensor Version;osFamily
146;ENDPOINT_MICROSOFT_ATP;9799d4999929998e618861b209ad0aee1adf9ed3;wkssocgyg25w3.netcenter.com.br;4ecb5eba-1dfa-4925-bcbb-a106ae0e3682;Windows11;9799d4999929998e618861b209ad0aee1adf9ed3;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8295.22621.1344;WINDOWS
147;ENDPOINT_MICROSOFT_ATP;86a9bee773e46f1285274646819f913f028f962a;wkscom017.netcenter.com.br;759f58e2-975f-48f5-9d17-ce72e75aabb0;Windows10;86a9bee773e46f1285274646819f913f028f962a;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8295.19041.2546;WINDOWS
148;ENDPOINT_MICROSOFT_ATP;34d955b0321eabba02bb0cb6fbaeec6bcbd16aee;wksprj004.netcenter.com.br;b3e38919-cf74-4816-9b69-259f1a9b69d9;Windows10;34d955b0321eabba02bb0cb6fbaeec6bcbd16aee;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8040.19041.1645;WINDOWS
149;ENDPOINT_MICROSOFT_ATP;9c60a09a145c2be625ddb6b9e803fc7bbb94c161;wksger004.netcenter.com.br;86f25f07-cdae-4432-bbab-1ceee1054d6b;Windows11;9c60a09a145c2be625ddb6b9e803fc7bbb94c161;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8295.22621.1194;WINDOWS
150;ENDPOINT_MICROSOFT_ATP;cebf4acf689c064131c38f78679a2686719e0d31;wksprj003.netcenter.com.br;8202ea70-868a-4f79-b142-923042537d7d;Windows10;cebf4acf689c064131c38f78679a2686719e0d31;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8295.19041.2673;WINDOWS
151;ENDPOINT_MICROSOFT_ATP;73e865e9ab0fd9359faef5a16fe6d43e26f676ae;wksdir002.netcenter.com.br;46fdc9f3-79c4-4253-b560-b5de3fe9080d;Windows10;73e865e9ab0fd9359faef5a16fe6d43e26f676ae;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8295.19041.2673;WINDOWS
152;ENDPOINT_MICROSOFT_ATP;76bbeadae54078764644b322188c41bb2a8eaa06;wkssme008.netcenter.com.br;c0982744-7d92-4398-8651-0d04b369ad82;Windows10;76bbeadae54078764644b322188c41bb2a8eaa06;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8295.19041.2673;WINDOWS
153;ENDPOINT_MICROSOFT_ATP;1cb5afc6b9e16fce4032f1ca4e69043c93854f5c;wksnoc6nnnc72.netcenter.com.br;d00e27a9-b87d-425c-99cb-2b196a570e0e;Windows10;1cb5afc6b9e16fce4032f1ca4e69043c93854f5c;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8295.19041.2673;WINDOWS
154;ENDPOINT_MICROSOFT_ATP;9fb378e4207810a12ed1e7f36e65e6329e1db8ca;wksnoc6nnn172.netcenter.com.br;706e151c-7a47-4e9b-8f88-97c3c730f1df;Windows10;9fb378e4207810a12ed1e7f36e65e6329e1db8ca;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8295.19041.2673;WINDOWS
155;ENDPOINT_MICROSOFT_ATP;1418d025d9f0592871f8a2f3b9d89b07905e6bce;wksesp016.netcenter.com.br;9dc2fead-5aaa-4ef9-a973-f7a69d4da055;Windows11;1418d025d9f0592871f8a2f3b9d89b07905e6bce;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8295.22621.1344;WINDOWS
