Asset_Num;Endpoint Type;Host ID;Host Name;ID;OS Version;Sensor ID;Sensor Tenant;Sensor Version;osFamily;osRelease;systemType;status;osDistributor
1;ENDPOINT_MICROSOFT_ATP;d2b2b20e5be25f3c5af9eec7e434147ba03bfb0c;wksdrh002.netcenter.com.br;febd8a0b-f2ca-4bd8-8f9b-44ecabfc10ba;Windows10;d2b2b20e5be25f3c5af9eec7e434147ba03bfb0c;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8792.19045.5737;WINDOWS;19045;Workstation;Active;Microsoft
2;ENDPOINT_MICROSOFT_ATP;8e557227d15bf33e79ba187811855fdee83daccf;wkscom90yfl22.netcenter.com.br;69d0164f-a198-4443-af13-8e70424b6244;Windows10;8e557227d15bf33e79ba187811855fdee83daccf;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8792.19045.5737;WINDOWS;19045;Workstation;Active;Microsoft
3;ENDPOINT_REDCLOAK;004b121095814eaaf778d6bdafd5774e;NTCCARSRVPRD02;e8822f1b-deca-4f23-a79c-d80ef7a50efa;VERSION_SERVER_2012_R2;004b121095814eaaf778d6bdafd5774e;004b1210;2.8.5.0;WINDOWS;0.0;NT_SERVER;Active;Microsoft
4;ENDPOINT_REDCLOAK;004b1210a7d97bb694427dabc7ce26cb;NTCSSO01;26293bbc-71e6-4745-ab0f-2a982ac8abf2;VERSION_SERVER_2012_R2;004b1210a7d97bb694427dabc7ce26cb;004b1210;2.8.5.0;WINDOWS;0.0;NT_SERVER;Active;Microsoft
5;ENDPOINT_REDCLOAK;004b1210f210e98b241d58f50f8b1618;NTCGMS01;ae0fd810-177f-44e0-bf97-faf7bb2a1dcc;VERSION_SERVER_2019;004b1210f210e98b241d58f50f8b1618;004b1210;2.8.5.0;WINDOWS;0.0;NT_SERVER;Active;Microsoft
6;ENDPOINT_REDCLOAK;004b121036b0ab0af163cae9fd48c90e;NTCFS01;26177ebe-0719-40ca-a589-5fa19038603c;VERSION_SERVER_2019;004b121036b0ab0af163cae9fd48c90e;004b1210;2.8.5.0;WINDOWS;0.0;NT_SERVER;Active;Microsoft
7;ENDPOINT_REDCLOAK;004b1210c58e847a1e698c881f6ec426;NTCDB03;1706e13c-d86f-4c15-ac99-010bc8084a6a;VERSION_SERVER_2012_R2;004b1210c58e847a1e698c881f6ec426;004b1210;2.8.5.0;WINDOWS;0.0;NT_SERVER;Active;Microsoft
8;ENDPOINT_REDCLOAK;004b1210fd796b6a39db1301fe3cb7f4;NTCCARSRVPRD03;e5122510-35e6-4ae0-9c7b-f3d1cee29a4f;VERSION_SERVER_2012_R2;004b1210fd796b6a39db1301fe3cb7f4;004b1210;2.8.5.0;WINDOWS;0.0;NT_SERVER;Active;Microsoft
9;ENDPOINT_REDCLOAK;004b12106888b3d77077513c9db8a9fa;NTCDB02;dc685a8a-d69b-451f-92a6-7b227a37e54a;VERSION_SERVER_2012_R2;004b12106888b3d77077513c9db8a9fa;004b1210;2.8.5.0;WINDOWS;0.0;NT_SERVER;Active;Microsoft
10;ENDPOINT_REDCLOAK;004b1210d3e10c639672f940eaf42984;NTCRMTPRTG02;1af7b7da-c31f-4e82-9ef1-2c8a31205d55;VERSION_SERVER_2019;004b1210d3e10c639672f940eaf42984;004b1210;2.8.5.0;WINDOWS;0.0;NT_SERVER;Active;Microsoft
