Asset_Num;Endpoint Type;Host ID;Host Name;ID;OS Version;Sensor ID;Sensor Tenant;Sensor Version;osFamily;osRelease;systemType;status;osDistributor
1;ENDPOINT_TAEGIS;88479aab-004c-57fa-962f-77924313a211;BSJ1410;88479aab-004c-57fa-962f-77924313a211;10.0.19045;88479aab-004c-57fa-962f-77924313a211;146127;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
2;ENDPOINT_TAEGIS;4624df8a-62bb-50bd-be4d-017321649fe1;BSJ2891;4624df8a-62bb-50bd-be4d-017321649fe1;10.0.22631;4624df8a-62bb-50bd-be4d-017321649fe1;146127;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
3;ENDPOINT_TAEGIS;68308922-b7f2-58a4-87e2-d4e5116c7a48;BSJ0125;68308922-b7f2-58a4-87e2-d4e5116c7a48;10.0.22631;68308922-b7f2-58a4-87e2-d4e5116c7a48;146127;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Active;Microsoft
4;ENDPOINT_TAEGIS;8045f647-d6c4-5cb1-8b99-d7e95dc9c58c;BSJ1225;8045f647-d6c4-5cb1-8b99-d7e95dc9c58c;10.0.22631;8045f647-d6c4-5cb1-8b99-d7e95dc9c58c;146127;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
5;ENDPOINT_TAEGIS;b7723831-0e1e-539d-bc93-eeacd2558189;Britto;b7723831-0e1e-539d-bc93-eeacd2558189;10.0.26100;b7723831-0e1e-539d-bc93-eeacd2558189;146127;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
6;ENDPOINT_TAEGIS;64b23be6-9662-5846-b407-2b305e1245fe;BSJ2426;64b23be6-9662-5846-b407-2b305e1245fe;10.0.22631;64b23be6-9662-5846-b407-2b305e1245fe;146127;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Active;Microsoft
7;ENDPOINT_TAEGIS;c365df9f-6840-56e6-a5e4-404ef2bbec08;SRV3;c365df9f-6840-56e6-a5e4-404ef2bbec08;10.0.14393;c365df9f-6840-56e6-a5e4-404ef2bbec08;146127;2.2.22;WINDOWS;0.0;NT_SERVER;Active;Microsoft
8;ENDPOINT_TAEGIS;49bebdd1-d15c-5084-8d63-d046adb4e00f;SRV2;49bebdd1-d15c-5084-8d63-d046adb4e00f;10.0.14393;49bebdd1-d15c-5084-8d63-d046adb4e00f;146127;2.2.22;WINDOWS;0.0;NT_SERVER;Active;Microsoft
9;ENDPOINT_TAEGIS;ec6b3518-b9e3-5875-be92-172891b6ec9a;Rafa’s MacBook Pro;ec6b3518-b9e3-5875-be92-172891b6ec9a;15.3.1;ec6b3518-b9e3-5875-be92-172891b6ec9a;146127;2.0.17;MAC;;;Healthy;
10;ENDPOINT_TAEGIS;d880299c-da32-59f2-80aa-4eb4d8782ac5;BSJ2482;d880299c-da32-59f2-80aa-4eb4d8782ac5;10.0.26100;d880299c-da32-59f2-80aa-4eb4d8782ac5;146127;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
