Asset_Num;Endpoint Type;Host ID;Host Name;ID;OS Version;Sensor ID;Sensor Tenant;Sensor Version;osFamily;osRelease;systemType;status;osDistributor
1;ENDPOINT_TAEGIS;4d722207-f70d-578b-ac87-6109464b64f0;PGRJ-ADV504;4d722207-f70d-578b-ac87-6109464b64f0;10.0.19045;4d722207-f70d-578b-ac87-6109464b64f0;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Active;Microsoft
2;ENDPOINT_TAEGIS;edb9760e-48a7-54d3-b6fc-bd75ba8416eb;PGRJ-ADV492;edb9760e-48a7-54d3-b6fc-bd75ba8416eb;10.0.19045;edb9760e-48a7-54d3-b6fc-bd75ba8416eb;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
3;ENDPOINT_TAEGIS;d1628d3b-8bb2-560a-9d1c-2487bbe9ff2f;PGRJ-ADV172;d1628d3b-8bb2-560a-9d1c-2487bbe9ff2f;10.0.19043;d1628d3b-8bb2-560a-9d1c-2487bbe9ff2f;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Active;Microsoft
4;ENDPOINT_TAEGIS;8fc8b667-049b-5ac9-a4b9-438d5f056095;PGRJ-ADV248;8fc8b667-049b-5ac9-a4b9-438d5f056095;10.0.19045;8fc8b667-049b-5ac9-a4b9-438d5f056095;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
5;ENDPOINT_TAEGIS;102a7619-b352-50a0-a58f-91df1a3598f3;PGRJ-ADV474;102a7619-b352-50a0-a58f-91df1a3598f3;10.0.19045;102a7619-b352-50a0-a58f-91df1a3598f3;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
6;ENDPOINT_TAEGIS;c1e6443d-f61e-560c-9136-9c3b153a6261;PGSP-ADV209;c1e6443d-f61e-560c-9136-9c3b153a6261;10.0.19045;c1e6443d-f61e-560c-9136-9c3b153a6261;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
7;ENDPOINT_TAEGIS;d94d3538-1d77-585e-983b-d96f9b76f4b6;PGRJ-ADV256;d94d3538-1d77-585e-983b-d96f9b76f4b6;10.0.19045;d94d3538-1d77-585e-983b-d96f9b76f4b6;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
8;ENDPOINT_TAEGIS;bc6618b7-a39d-5482-baec-229a9bc3a92e;PGSP-ADV205;bc6618b7-a39d-5482-baec-229a9bc3a92e;10.0.19045;bc6618b7-a39d-5482-baec-229a9bc3a92e;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Active;Microsoft
9;ENDPOINT_TAEGIS;e7cd20a2-31c1-5dc6-8e20-8ee42c9a1988;PGSP-ADV293;e7cd20a2-31c1-5dc6-8e20-8ee42c9a1988;10.0.19045;e7cd20a2-31c1-5dc6-8e20-8ee42c9a1988;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Active;Microsoft
10;ENDPOINT_TAEGIS;18b25a2a-1c79-5c9f-89d4-9d507edba5d9;PGRJ-ADV181;18b25a2a-1c79-5c9f-89d4-9d507edba5d9;10.0.19045;18b25a2a-1c79-5c9f-89d4-9d507edba5d9;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
11;ENDPOINT_TAEGIS;236af614-8ecb-5b25-9fd6-3f9af992c71d;PGRJ-ADV173;236af614-8ecb-5b25-9fd6-3f9af992c71d;10.0.19043;236af614-8ecb-5b25-9fd6-3f9af992c71d;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Active;Microsoft
12;ENDPOINT_TAEGIS;88711e82-0b6a-52fb-ab09-189ac18233a5;PGRJ-ADV258;88711e82-0b6a-52fb-ab09-189ac18233a5;10.0.19044;88711e82-0b6a-52fb-ab09-189ac18233a5;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Active;Microsoft
13;ENDPOINT_TAEGIS;0290d758-246f-5d44-98dc-ae3267b2e3bb;PGRJ-ADV370;0290d758-246f-5d44-98dc-ae3267b2e3bb;10.0.19044;0290d758-246f-5d44-98dc-ae3267b2e3bb;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
14;ENDPOINT_TAEGIS;4e228655-75d8-550c-b8e7-a4d04f185219;PGRJ-ADV216;4e228655-75d8-550c-b8e7-a4d04f185219;10.0.19044;4e228655-75d8-550c-b8e7-a4d04f185219;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
15;ENDPOINT_TAEGIS;6bb24f38-ea69-5d51-a94a-475b390fe609;PGRJ-ADV179;6bb24f38-ea69-5d51-a94a-475b390fe609;10.0.19045;6bb24f38-ea69-5d51-a94a-475b390fe609;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Active;Microsoft
16;ENDPOINT_TAEGIS;0af15bc4-93f3-5e00-bccc-f617f9a1ddad;PGRJ-ADV475;0af15bc4-93f3-5e00-bccc-f617f9a1ddad;10.0.19045;0af15bc4-93f3-5e00-bccc-f617f9a1ddad;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
17;ENDPOINT_TAEGIS;f3c8d2ad-9cb0-5427-a606-57b76430e3e2;PGRJ-ADV169;f3c8d2ad-9cb0-5427-a606-57b76430e3e2;10.0.19043;f3c8d2ad-9cb0-5427-a606-57b76430e3e2;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
18;ENDPOINT_TAEGIS;9530eafb-8e0c-59a7-aba9-6fcc7095ce88;PGSP-ADM200;9530eafb-8e0c-59a7-aba9-6fcc7095ce88;10.0.19045;9530eafb-8e0c-59a7-aba9-6fcc7095ce88;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
19;ENDPOINT_TAEGIS;46805aac-732f-5270-9cf6-5e1afc8eac0f;PGSP-ADV352;46805aac-732f-5270-9cf6-5e1afc8eac0f;10.0.19045;46805aac-732f-5270-9cf6-5e1afc8eac0f;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
20;ENDPOINT_TAEGIS;9bade17c-6ded-5306-9a36-de75cecf1460;PGRJ-ADV199;9bade17c-6ded-5306-9a36-de75cecf1460;10.0.19045;9bade17c-6ded-5306-9a36-de75cecf1460;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
21;ENDPOINT_TAEGIS;24385f6d-c765-56ef-9730-7fe6a0b1ecd9;PGRJ-ADV502;24385f6d-c765-56ef-9730-7fe6a0b1ecd9;10.0.19045;24385f6d-c765-56ef-9730-7fe6a0b1ecd9;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
22;ENDPOINT_TAEGIS;c4ebf968-bcb7-578b-9b73-81fbea356725;PGSP-ADV292;c4ebf968-bcb7-578b-9b73-81fbea356725;10.0.19045;c4ebf968-bcb7-578b-9b73-81fbea356725;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
23;ENDPOINT_TAEGIS;b3a6dbc6-06bb-55e0-a6c9-a21676d5c1c2;PGRJ-ADV174;b3a6dbc6-06bb-55e0-a6c9-a21676d5c1c2;10.0.19045;b3a6dbc6-06bb-55e0-a6c9-a21676d5c1c2;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Active;Microsoft
24;ENDPOINT_TAEGIS;e11ddb5c-c053-5d0f-8bd6-07049a26d860;PGRJ-ADV480;e11ddb5c-c053-5d0f-8bd6-07049a26d860;10.0.19045;e11ddb5c-c053-5d0f-8bd6-07049a26d860;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
25;ENDPOINT_TAEGIS;c594e44f-600f-5643-9272-8caac0553b55;PGRJ-ADV479;c594e44f-600f-5643-9272-8caac0553b55;10.0.19045;c594e44f-600f-5643-9272-8caac0553b55;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
26;ENDPOINT_TAEGIS;43fddbbb-e62d-54df-bdac-0b7d030a2c41;PGSP-ADV214;43fddbbb-e62d-54df-bdac-0b7d030a2c41;10.0.19045;43fddbbb-e62d-54df-bdac-0b7d030a2c41;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
27;ENDPOINT_TAEGIS;a9d3de2f-9d58-56b1-ab1f-f0a88547b3bd;PGRJ-ADV201;a9d3de2f-9d58-56b1-ab1f-f0a88547b3bd;10.0.19045;a9d3de2f-9d58-56b1-ab1f-f0a88547b3bd;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
28;ENDPOINT_TAEGIS;48c9af48-e462-57ef-9423-81f87dd37109;PGRJ-ADV191;48c9af48-e462-57ef-9423-81f87dd37109;10.0.19043;48c9af48-e462-57ef-9423-81f87dd37109;148507;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
